event_id,case_id,event_ts,account_id,user_id,session_id,ip_address,user_agent,model,prompt_category,prompt_text,response_outcome,moderation_label,moderation_score,policy_signal,risk_score,is_synthetic_abuse,analyst_note
case_003_base_1001_000,case_003,2026-05-01T17:30:00,acct_1001,user_1001,sess_case_003_1001_0,198.51.100.49,Chrome/125 desktop,gpt-investigator-sim,sql_help,Show me how a LEFT JOIN differs from an INNER JOIN using a toy example.,allowed,none,0.04,none,8,0,Baseline benign usage for comparison.
case_003_base_2033_000,case_003,2026-05-01T17:30:00,acct_2033,user_2033,sess_case_003_2033_0,198.51.100.14,Chrome/125 desktop,gpt-investigator-sim,coding_help,Explain why my Python loop is skipping the first row of a CSV.,allowed,none,0.1,none,3,0,Baseline benign usage for comparison.
case_003_base_1001_001,case_003,2026-05-01T17:40:00,acct_1001,user_1001,sess_case_003_1001_0,198.51.100.20,Chrome/125 desktop,gpt-investigator-sim,data_analysis,Help me calculate weekly active users from this event table.,allowed,none,0.09,none,3,0,Baseline benign usage for comparison.
case_003_base_2033_001,case_003,2026-05-01T17:42:00,acct_2033,user_2033,sess_case_003_2033_0,198.51.100.45,Chrome/125 desktop,gpt-investigator-sim,data_analysis,Help me calculate weekly active users from this event table.,allowed,none,0.08,none,7,0,Baseline benign usage for comparison.
case_003_base_2033_002,case_003,2026-05-01T17:52:00,acct_2033,user_2033,sess_case_003_2033_0,198.51.100.70,Chrome/125 desktop,gpt-investigator-sim,data_analysis,Help me calculate weekly active users from this event table.,allowed,none,0.04,none,16,0,Baseline benign usage for comparison.
case_003_base_1001_003,case_003,2026-05-01T18:03:00,acct_1001,user_1001,sess_case_003_1001_0,198.51.100.43,Chrome/125 desktop,gpt-investigator-sim,data_analysis,Help me calculate weekly active users from this event table.,allowed,none,0.07,none,14,0,Baseline benign usage for comparison.
case_003_base_2033_003,case_003,2026-05-01T18:06:00,acct_2033,user_2033,sess_case_003_2033_0,198.51.100.22,Chrome/125 desktop,gpt-investigator-sim,writing,Rewrite this customer support reply to sound more concise and polite.,allowed,none,0.02,none,14,0,Baseline benign usage for comparison.
case_003_base_1001_002,case_003,2026-05-01T18:12:00,acct_1001,user_1001,sess_case_003_1001_0,198.51.100.26,Chrome/125 desktop,gpt-investigator-sim,data_analysis,Help me calculate weekly active users from this event table.,allowed,none,0.02,none,16,0,Baseline benign usage for comparison.
case_003_base_2033_005,case_003,2026-05-01T18:15:00,acct_2033,user_2033,sess_case_003_2033_1,198.51.100.61,Chrome/125 desktop,gpt-investigator-sim,productivity,Summarize these meeting notes into action items for the team.,allowed,none,0.09,none,4,0,Baseline benign usage for comparison.
case_003_base_1001_006,case_003,2026-05-01T18:30:00,acct_1001,user_1001,sess_case_003_1001_1,198.51.100.53,Chrome/125 desktop,gpt-investigator-sim,coding_help,Explain why my Python loop is skipping the first row of a CSV.,allowed,none,0.01,none,18,0,Baseline benign usage for comparison.
