event_id,case_id,event_ts,account_id,user_id,session_id,ip_address,user_agent,model,prompt_category,prompt_text,response_outcome,moderation_label,moderation_score,policy_signal,risk_score,is_synthetic_abuse,analyst_note
case_010_base_1001_000,case_010,2026-05-05T07:00:00,acct_1001,user_1001,sess_case_010_1001_0,198.51.100.41,Chrome/125 desktop,gpt-investigator-sim,writing,Rewrite this customer support reply to sound more concise and polite.,allowed,none,0.04,none,12,0,Baseline benign usage for comparison.
case_010_base_2033_000,case_010,2026-05-05T07:00:00,acct_2033,user_2033,sess_case_010_2033_0,198.51.100.47,Chrome/125 desktop,gpt-investigator-sim,productivity,Summarize these meeting notes into action items for the team.,allowed,none,0.09,none,5,0,Baseline benign usage for comparison.
case_010_base_2033_001,case_010,2026-05-05T07:10:00,acct_2033,user_2033,sess_case_010_2033_0,198.51.100.11,Chrome/125 desktop,gpt-investigator-sim,writing,Rewrite this customer support reply to sound more concise and polite.,allowed,none,0.07,none,16,0,Baseline benign usage for comparison.
case_010_base_1001_001,case_010,2026-05-05T07:17:00,acct_1001,user_1001,sess_case_010_1001_0,198.51.100.77,Chrome/125 desktop,gpt-investigator-sim,writing,Rewrite this customer support reply to sound more concise and polite.,allowed,none,0.05,none,18,0,Baseline benign usage for comparison.
case_010_base_1001_002,case_010,2026-05-05T07:28:00,acct_1001,user_1001,sess_case_010_1001_0,198.51.100.68,Chrome/125 desktop,gpt-investigator-sim,sql_help,Show me how a LEFT JOIN differs from an INNER JOIN using a toy example.,allowed,none,0.04,none,9,0,Baseline benign usage for comparison.
case_010_base_1001_003,case_010,2026-05-05T07:30:00,acct_1001,user_1001,sess_case_010_1001_0,198.51.100.34,Chrome/125 desktop,gpt-investigator-sim,coding_help,Explain why my Python loop is skipping the first row of a CSV.,allowed,none,0.04,none,18,0,Baseline benign usage for comparison.
case_010_base_2033_002,case_010,2026-05-05T07:32:00,acct_2033,user_2033,sess_case_010_2033_0,198.51.100.53,Chrome/125 desktop,gpt-investigator-sim,writing,Rewrite this customer support reply to sound more concise and polite.,allowed,none,0.03,none,2,0,Baseline benign usage for comparison.
case_010_base_2033_004,case_010,2026-05-05T07:40:00,acct_2033,user_2033,sess_case_010_2033_1,198.51.100.16,Chrome/125 desktop,gpt-investigator-sim,writing,Rewrite this customer support reply to sound more concise and polite.,allowed,none,0.03,none,10,0,Baseline benign usage for comparison.
case_010_base_1001_004,case_010,2026-05-05T07:48:00,acct_1001,user_1001,sess_case_010_1001_1,198.51.100.37,Chrome/125 desktop,gpt-investigator-sim,coding_help,Explain why my Python loop is skipping the first row of a CSV.,allowed,none,0.09,none,9,0,Baseline benign usage for comparison.
case_010_base_2033_003,case_010,2026-05-05T07:48:00,acct_2033,user_2033,sess_case_010_2033_0,198.51.100.24,Chrome/125 desktop,gpt-investigator-sim,sql_help,Show me how a LEFT JOIN differs from an INNER JOIN using a toy example.,allowed,none,0.1,none,13,0,Baseline benign usage for comparison.
case_010_base_2033_005,case_010,2026-05-05T08:00:00,acct_2033,user_2033,sess_case_010_2033_1,198.51.100.25,Chrome/125 desktop,gpt-investigator-sim,productivity,Summarize these meeting notes into action items for the team.,allowed,none,0.07,none,14,0,Baseline benign usage for comparison.
case_010_base_1001_006,case_010,2026-05-05T08:18:00,acct_1001,user_1001,sess_case_010_1001_1,198.51.100.39,Chrome/125 desktop,gpt-investigator-sim,coding_help,Explain why my Python loop is skipping the first row of a CSV.,allowed,none,0.05,none,10,0,Baseline benign usage for comparison.
case_010_base_1001_005,case_010,2026-05-05T08:45:00,acct_1001,user_1001,sess_case_010_1001_1,198.51.100.77,Chrome/125 desktop,gpt-investigator-sim,data_analysis,Help me calculate weekly active users from this event table.,allowed,none,0.08,none,4,0,Baseline benign usage for comparison.
case_010_base_2033_006,case_010,2026-05-05T08:48:00,acct_2033,user_2033,sess_case_010_2033_1,198.51.100.38,Chrome/125 desktop,gpt-investigator-sim,data_analysis,Help me calculate weekly active users from this event table.,allowed,none,0.1,none,13,0,Baseline benign usage for comparison.
case_010_base_2033_007,case_010,2026-05-05T08:52:00,acct_2033,user_2033,sess_case_010_2033_1,198.51.100.48,Chrome/125 desktop,gpt-investigator-sim,writing,Rewrite this customer support reply to sound more concise and polite.,allowed,none,0.1,none,14,0,Baseline benign usage for comparison.
case_010_base_1001_007,case_010,2026-05-05T09:20:00,acct_1001,user_1001,sess_case_010_1001_1,198.51.100.78,Chrome/125 desktop,gpt-investigator-sim,productivity,Summarize these meeting notes into action items for the team.,allowed,none,0.02,none,2,0,Baseline benign usage for comparison.
case_010_target_000,case_010,2026-05-05T13:00:00,acct_9009,user_9009,sess_case_010_9009_0,203.0.113.77,Chrome/125 desktop,gpt-investigator-sim,mixed,Open-ended senior review: separate true linkage from benign security work. Synthetic case theme: Senior investigator simulation.,safe_completion,suspicious,0.79,mixed_evidence,65,1,Target account activity. Expected decision: senior review with split outcomes by account.
