event_id,case_id,event_ts,account_id,user_id,session_id,ip_address,user_agent,model,prompt_category,prompt_text,response_outcome,moderation_label,moderation_score,policy_signal,risk_score,is_synthetic_abuse,analyst_note
case_008_base_1001_000,case_008,2026-05-04T02:30:00,acct_1001,user_1001,sess_case_008_1001_0,198.51.100.12,Chrome/125 desktop,gpt-investigator-sim,writing,Rewrite this customer support reply to sound more concise and polite.,allowed,none,0.1,none,13,0,Baseline benign usage for comparison.
case_008_base_2033_000,case_008,2026-05-04T02:30:00,acct_2033,user_2033,sess_case_008_2033_0,198.51.100.68,Chrome/125 desktop,gpt-investigator-sim,sql_help,Show me how a LEFT JOIN differs from an INNER JOIN using a toy example.,allowed,none,0.05,none,13,0,Baseline benign usage for comparison.
case_008_base_1001_001,case_008,2026-05-04T02:39:00,acct_1001,user_1001,sess_case_008_1001_0,198.51.100.55,Chrome/125 desktop,gpt-investigator-sim,writing,Rewrite this customer support reply to sound more concise and polite.,allowed,none,0.04,none,13,0,Baseline benign usage for comparison.
case_008_base_2033_002,case_008,2026-05-04T02:48:00,acct_2033,user_2033,sess_case_008_2033_0,198.51.100.79,Chrome/125 desktop,gpt-investigator-sim,writing,Rewrite this customer support reply to sound more concise and polite.,allowed,none,0.02,none,12,0,Baseline benign usage for comparison.
case_008_base_2033_001,case_008,2026-05-04T02:51:00,acct_2033,user_2033,sess_case_008_2033_0,198.51.100.63,Chrome/125 desktop,gpt-investigator-sim,sql_help,Show me how a LEFT JOIN differs from an INNER JOIN using a toy example.,allowed,none,0.04,none,3,0,Baseline benign usage for comparison.
case_008_base_1001_002,case_008,2026-05-04T03:04:00,acct_1001,user_1001,sess_case_008_1001_0,198.51.100.79,Chrome/125 desktop,gpt-investigator-sim,writing,Rewrite this customer support reply to sound more concise and polite.,allowed,none,0.1,none,8,0,Baseline benign usage for comparison.
case_008_base_1001_003,case_008,2026-05-04T03:06:00,acct_1001,user_1001,sess_case_008_1001_0,198.51.100.44,Chrome/125 desktop,gpt-investigator-sim,writing,Rewrite this customer support reply to sound more concise and polite.,allowed,none,0.06,none,1,0,Baseline benign usage for comparison.
case_008_base_2033_004,case_008,2026-05-04T03:18:00,acct_2033,user_2033,sess_case_008_2033_1,198.51.100.35,Chrome/125 desktop,gpt-investigator-sim,productivity,Summarize these meeting notes into action items for the team.,allowed,none,0.1,none,5,0,Baseline benign usage for comparison.
case_008_base_2033_005,case_008,2026-05-04T03:25:00,acct_2033,user_2033,sess_case_008_2033_1,198.51.100.70,Chrome/125 desktop,gpt-investigator-sim,coding_help,Explain why my Python loop is skipping the first row of a CSV.,allowed,none,0.08,none,7,0,Baseline benign usage for comparison.
case_008_base_1001_004,case_008,2026-05-04T03:26:00,acct_1001,user_1001,sess_case_008_1001_1,198.51.100.61,Chrome/125 desktop,gpt-investigator-sim,writing,Rewrite this customer support reply to sound more concise and polite.,allowed,none,0.09,none,15,0,Baseline benign usage for comparison.
case_008_base_2033_003,case_008,2026-05-04T03:27:00,acct_2033,user_2033,sess_case_008_2033_0,198.51.100.18,Chrome/125 desktop,gpt-investigator-sim,coding_help,Explain why my Python loop is skipping the first row of a CSV.,allowed,none,0.1,none,2,0,Baseline benign usage for comparison.
