event_id,case_id,event_ts,account_id,user_id,session_id,ip_address,user_agent,model,prompt_category,prompt_text,response_outcome,moderation_label,moderation_score,policy_signal,risk_score,is_synthetic_abuse,analyst_note
case_006_base_1001_000,case_006,2026-05-03T05:40:00,acct_1001,user_1001,sess_case_006_1001_0,198.51.100.70,Chrome/125 desktop,gpt-investigator-sim,writing,Rewrite this customer support reply to sound more concise and polite.,allowed,none,0.03,none,15,0,Baseline benign usage for comparison.
case_006_base_2033_000,case_006,2026-05-03T05:40:00,acct_2033,user_2033,sess_case_006_2033_0,198.51.100.78,Chrome/125 desktop,gpt-investigator-sim,productivity,Summarize these meeting notes into action items for the team.,allowed,none,0.09,none,7,0,Baseline benign usage for comparison.
case_006_base_1001_001,case_006,2026-05-03T05:53:00,acct_1001,user_1001,sess_case_006_1001_0,198.51.100.39,Chrome/125 desktop,gpt-investigator-sim,sql_help,Show me how a LEFT JOIN differs from an INNER JOIN using a toy example.,allowed,none,0.03,none,7,0,Baseline benign usage for comparison.
case_006_base_2033_001,case_006,2026-05-03T05:55:00,acct_2033,user_2033,sess_case_006_2033_0,198.51.100.18,Chrome/125 desktop,gpt-investigator-sim,sql_help,Show me how a LEFT JOIN differs from an INNER JOIN using a toy example.,allowed,none,0.11,none,11,0,Baseline benign usage for comparison.
case_006_base_1001_002,case_006,2026-05-03T06:08:00,acct_1001,user_1001,sess_case_006_1001_0,198.51.100.45,Chrome/125 desktop,gpt-investigator-sim,writing,Rewrite this customer support reply to sound more concise and polite.,allowed,none,0.11,none,9,0,Baseline benign usage for comparison.
case_006_base_2033_002,case_006,2026-05-03T06:08:00,acct_2033,user_2033,sess_case_006_2033_0,198.51.100.25,Chrome/125 desktop,gpt-investigator-sim,data_analysis,Help me calculate weekly active users from this event table.,allowed,none,0.09,none,10,0,Baseline benign usage for comparison.
case_006_base_1001_004,case_006,2026-05-03T06:16:00,acct_1001,user_1001,sess_case_006_1001_1,198.51.100.24,Chrome/125 desktop,gpt-investigator-sim,sql_help,Show me how a LEFT JOIN differs from an INNER JOIN using a toy example.,allowed,none,0.11,none,9,0,Baseline benign usage for comparison.
case_006_base_2033_003,case_006,2026-05-03T06:19:00,acct_2033,user_2033,sess_case_006_2033_0,198.51.100.62,Chrome/125 desktop,gpt-investigator-sim,data_analysis,Help me calculate weekly active users from this event table.,allowed,none,0.05,none,10,0,Baseline benign usage for comparison.
case_006_base_2033_004,case_006,2026-05-03T06:24:00,acct_2033,user_2033,sess_case_006_2033_1,198.51.100.34,Chrome/125 desktop,gpt-investigator-sim,data_analysis,Help me calculate weekly active users from this event table.,allowed,none,0.06,none,13,0,Baseline benign usage for comparison.
case_006_base_1001_003,case_006,2026-05-03T06:37:00,acct_1001,user_1001,sess_case_006_1001_0,198.51.100.75,Chrome/125 desktop,gpt-investigator-sim,sql_help,Show me how a LEFT JOIN differs from an INNER JOIN using a toy example.,allowed,none,0.05,none,18,0,Baseline benign usage for comparison.
case_006_base_2033_006,case_006,2026-05-03T06:58:00,acct_2033,user_2033,sess_case_006_2033_1,198.51.100.36,Chrome/125 desktop,gpt-investigator-sim,sql_help,Show me how a LEFT JOIN differs from an INNER JOIN using a toy example.,allowed,none,0.06,none,11,0,Baseline benign usage for comparison.
case_006_base_1001_005,case_006,2026-05-03T07:10:00,acct_1001,user_1001,sess_case_006_1001_1,198.51.100.43,Chrome/125 desktop,gpt-investigator-sim,coding_help,Explain why my Python loop is skipping the first row of a CSV.,allowed,none,0.01,none,14,0,Baseline benign usage for comparison.
case_006_base_2033_005,case_006,2026-05-03T07:10:00,acct_2033,user_2033,sess_case_006_2033_1,198.51.100.48,Chrome/125 desktop,gpt-investigator-sim,coding_help,Explain why my Python loop is skipping the first row of a CSV.,allowed,none,0.05,none,1,0,Baseline benign usage for comparison.
case_006_base_1001_007,case_006,2026-05-03T07:25:00,acct_1001,user_1001,sess_case_006_1001_1,198.51.100.34,Chrome/125 desktop,gpt-investigator-sim,productivity,Summarize these meeting notes into action items for the team.,allowed,none,0.04,none,14,0,Baseline benign usage for comparison.
case_006_base_2033_007,case_006,2026-05-03T07:32:00,acct_2033,user_2033,sess_case_006_2033_1,198.51.100.66,Chrome/125 desktop,gpt-investigator-sim,writing,Rewrite this customer support reply to sound more concise and polite.,allowed,none,0.08,none,17,0,Baseline benign usage for comparison.
case_006_base_1001_006,case_006,2026-05-03T07:40:00,acct_1001,user_1001,sess_case_006_1001_1,198.51.100.50,Chrome/125 desktop,gpt-investigator-sim,sql_help,Show me how a LEFT JOIN differs from an INNER JOIN using a toy example.,allowed,none,0.06,none,17,0,Baseline benign usage for comparison.
