event_id,case_id,event_ts,account_id,user_id,session_id,ip_address,user_agent,model,prompt_category,prompt_text,response_outcome,moderation_label,moderation_score,policy_signal,risk_score,is_synthetic_abuse,analyst_note
case_007_base_1001_000,case_007,2026-05-03T10:15:00,acct_1001,user_1001,sess_case_007_1001_0,198.51.100.31,Chrome/125 desktop,gpt-investigator-sim,writing,Rewrite this customer support reply to sound more concise and polite.,allowed,none,0.08,none,10,0,Baseline benign usage for comparison.
case_007_base_2033_000,case_007,2026-05-03T10:15:00,acct_2033,user_2033,sess_case_007_2033_0,198.51.100.66,Chrome/125 desktop,gpt-investigator-sim,data_analysis,Help me calculate weekly active users from this event table.,allowed,none,0.08,none,17,0,Baseline benign usage for comparison.
case_007_base_2033_001,case_007,2026-05-03T10:32:00,acct_2033,user_2033,sess_case_007_2033_0,198.51.100.67,Chrome/125 desktop,gpt-investigator-sim,writing,Rewrite this customer support reply to sound more concise and polite.,allowed,none,0.11,none,16,0,Baseline benign usage for comparison.
case_007_base_1001_001,case_007,2026-05-03T10:34:00,acct_1001,user_1001,sess_case_007_1001_0,198.51.100.52,Chrome/125 desktop,gpt-investigator-sim,data_analysis,Help me calculate weekly active users from this event table.,allowed,none,0.02,none,8,0,Baseline benign usage for comparison.
case_007_base_1001_002,case_007,2026-05-03T10:39:00,acct_1001,user_1001,sess_case_007_1001_0,198.51.100.35,Chrome/125 desktop,gpt-investigator-sim,sql_help,Show me how a LEFT JOIN differs from an INNER JOIN using a toy example.,allowed,none,0.03,none,2,0,Baseline benign usage for comparison.
case_007_base_2033_002,case_007,2026-05-03T10:41:00,acct_2033,user_2033,sess_case_007_2033_0,198.51.100.41,Chrome/125 desktop,gpt-investigator-sim,writing,Rewrite this customer support reply to sound more concise and polite.,allowed,none,0.1,none,9,0,Baseline benign usage for comparison.
case_007_base_1001_003,case_007,2026-05-03T11:03:00,acct_1001,user_1001,sess_case_007_1001_0,198.51.100.19,Chrome/125 desktop,gpt-investigator-sim,coding_help,Explain why my Python loop is skipping the first row of a CSV.,allowed,none,0.06,none,7,0,Baseline benign usage for comparison.
case_007_base_2033_003,case_007,2026-05-03T11:03:00,acct_2033,user_2033,sess_case_007_2033_0,198.51.100.40,Chrome/125 desktop,gpt-investigator-sim,data_analysis,Help me calculate weekly active users from this event table.,allowed,none,0.04,none,3,0,Baseline benign usage for comparison.
case_007_base_2033_004,case_007,2026-05-03T11:03:00,acct_2033,user_2033,sess_case_007_2033_1,198.51.100.44,Chrome/125 desktop,gpt-investigator-sim,sql_help,Show me how a LEFT JOIN differs from an INNER JOIN using a toy example.,allowed,none,0.05,none,18,0,Baseline benign usage for comparison.
case_007_base_1001_006,case_007,2026-05-03T11:09:00,acct_1001,user_1001,sess_case_007_1001_1,198.51.100.41,Chrome/125 desktop,gpt-investigator-sim,writing,Rewrite this customer support reply to sound more concise and polite.,allowed,none,0.11,none,4,0,Baseline benign usage for comparison.
case_007_base_2033_005,case_007,2026-05-03T11:10:00,acct_2033,user_2033,sess_case_007_2033_1,198.51.100.29,Chrome/125 desktop,gpt-investigator-sim,productivity,Summarize these meeting notes into action items for the team.,allowed,none,0.04,none,5,0,Baseline benign usage for comparison.
case_007_base_2033_006,case_007,2026-05-03T11:15:00,acct_2033,user_2033,sess_case_007_2033_1,198.51.100.63,Chrome/125 desktop,gpt-investigator-sim,coding_help,Explain why my Python loop is skipping the first row of a CSV.,allowed,none,0.05,none,18,0,Baseline benign usage for comparison.
