event_id,case_id,event_ts,account_id,user_id,session_id,ip_address,user_agent,model,prompt_category,prompt_text,response_outcome,moderation_label,moderation_score,policy_signal,risk_score,is_synthetic_abuse,analyst_note
case_002_base_1001_000,case_002,2026-05-01T04:05:00,acct_1001,user_1001,sess_case_002_1001_0,198.51.100.51,Chrome/125 desktop,gpt-investigator-sim,coding_help,Explain why my Python loop is skipping the first row of a CSV.,allowed,none,0.1,none,2,0,Baseline benign usage for comparison.
case_002_base_2033_000,case_002,2026-05-01T04:05:00,acct_2033,user_2033,sess_case_002_2033_0,198.51.100.59,Chrome/125 desktop,gpt-investigator-sim,data_analysis,Help me calculate weekly active users from this event table.,allowed,none,0.05,none,15,0,Baseline benign usage for comparison.
case_002_base_1001_001,case_002,2026-05-01T04:14:00,acct_1001,user_1001,sess_case_002_1001_0,198.51.100.50,Chrome/125 desktop,gpt-investigator-sim,coding_help,Explain why my Python loop is skipping the first row of a CSV.,allowed,none,0.05,none,3,0,Baseline benign usage for comparison.
case_002_base_2033_001,case_002,2026-05-01T04:18:00,acct_2033,user_2033,sess_case_002_2033_0,198.51.100.80,Chrome/125 desktop,gpt-investigator-sim,data_analysis,Help me calculate weekly active users from this event table.,allowed,none,0.1,none,1,0,Baseline benign usage for comparison.
case_002_base_1001_002,case_002,2026-05-01T04:41:00,acct_1001,user_1001,sess_case_002_1001_0,198.51.100.50,Chrome/125 desktop,gpt-investigator-sim,coding_help,Explain why my Python loop is skipping the first row of a CSV.,allowed,none,0.03,none,16,0,Baseline benign usage for comparison.
case_002_base_2033_002,case_002,2026-05-01T04:43:00,acct_2033,user_2033,sess_case_002_2033_0,198.51.100.78,Chrome/125 desktop,gpt-investigator-sim,productivity,Summarize these meeting notes into action items for the team.,allowed,none,0.09,none,11,0,Baseline benign usage for comparison.
case_002_base_2033_003,case_002,2026-05-01T04:44:00,acct_2033,user_2033,sess_case_002_2033_0,198.51.100.65,Chrome/125 desktop,gpt-investigator-sim,productivity,Summarize these meeting notes into action items for the team.,allowed,none,0.03,none,1,0,Baseline benign usage for comparison.
case_002_base_1001_003,case_002,2026-05-01T05:02:00,acct_1001,user_1001,sess_case_002_1001_0,198.51.100.68,Chrome/125 desktop,gpt-investigator-sim,writing,Rewrite this customer support reply to sound more concise and polite.,allowed,none,0.03,none,5,0,Baseline benign usage for comparison.
case_002_base_2033_004,case_002,2026-05-01T05:13:00,acct_2033,user_2033,sess_case_002_2033_1,198.51.100.32,Chrome/125 desktop,gpt-investigator-sim,sql_help,Show me how a LEFT JOIN differs from an INNER JOIN using a toy example.,allowed,none,0.07,none,4,0,Baseline benign usage for comparison.
case_002_base_1001_005,case_002,2026-05-01T05:20:00,acct_1001,user_1001,sess_case_002_1001_1,198.51.100.56,Chrome/125 desktop,gpt-investigator-sim,data_analysis,Help me calculate weekly active users from this event table.,allowed,none,0.03,none,5,0,Baseline benign usage for comparison.
